"code";"code_parent";"description";"layer_no"
"2512";"251";"Vervaardiging van metalen deuren, vensters en kozijnen";4
"252";"25";"Vervaardiging van reservoirs van metaal en van ketels en radiatoren voor centrale verwarming ";3
"2521";"252";"Vervaardiging van ketels en radiatoren voor centrale verwarming";4
"2529";"252";"Vervaardiging van metalen tanks en reservoirs";4
"253";"25";"Vervaardiging van stoomketels (geen ketels voor centrale verwarming)";3
"2530";"253";"Vervaardiging van stoomketels (geen ketels voor centrale verwarming)";4
"254";"25";"Vervaardiging van wapens en munitie";3
"2540";"254";"Vervaardiging van wapens en munitie";4
"255";"25";"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie";3
"2550";"255";"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie";4
"256";"25";"Oppervlaktebehandeling en bekleding van metaal; algemene metaalbewerking ";3
"2561";"256";"Oppervlaktebehandeling en bekleding van metaal";4
"2562";"256";"Algemene metaalbewerking";4
"257";"25";"Vervaardiging van scharen, messen en  bestek, hang- en sluitwerk en gereedschap";3
"2571";"257";"Vervaardiging van scharen, messen en bestek";4
"2572";"257";"Vervaardiging van hang- en sluitwerk";4
"2573";"257";"Vervaardiging van gereedschap";4
"259";"25";"Vervaardiging van overige producten van metaal";3
"2591";"259";"Vervaardiging van stalen vaten e.d.";4
"2592";"259";"Vervaardiging van verpakkingsmiddelen van licht metaal";4
"2593";"259";"Vervaardiging van artikelen van draad en van kettingen en veren";4
"2594";"259";"Vervaardiging van bouten, schroeven en moeren";4
"2599";"259";"Vervaardiging van overige producten van metaal (rest)";4
"261";"26";"Vervaardiging van elektronische componenten en printplaten";3
"2611";"261";"Vervaardiging van elektronische componenten";4
"2612";"261";"Vervaardiging van elektronische printplaten";4
"262";"26";"Vervaardiging van computers en randapparatuur";3
"2620";"262";"Vervaardiging van computers en randapparatuur";4
"263";"26";"Vervaardiging van communicatieapparatuur";3
"2630";"263";"Vervaardiging van communicatieapparatuur";4
"264";"26";"Vervaardiging van consumentenelektronica";3
"2640";"264";"Vervaardiging van consumentenelektronica";4
"265";"26";"Vervaardiging van meet-, regel-, navigatie- en controleapparatuur en van uurwerken";3
"2651";"265";"Vervaardiging van meet-, regel-, navigatie- en controleapparatuur";4
"2652";"265";"Vervaardiging van uurwerken";4
"266";"26";"Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur";3
